"Lack of understanding of system capabilities and functionalities. Needed to have a better understanding of system limitations.",,datacomm engag earli
Lack of communication between Grants offices and Sponsors / Department as to our billing / payment activity 'Blackout' period,addit motio licens expens,whitelist
Storage is costly with Salesforce.,vendor initi give u inform may need upfront work call slow process thing may right peopl call may info need track,be rigor govern legaci project gone govern support document brm normal provid rational deadlin plan roi rom
 Anonymous node requirements,the project experienc resourc constraint throughout project,detail clear requir document creat
ABA routing number,there direct engag vendor project,there busi process document except one creat registrar team
Initial stages of end user testing relied on business process documents to guide users through processes which proved difficult to follow in an unfamiliar system,a lot item need done it understood ahead time,it pm engag begin project
Limited documentation,busi need changesservic need identif,licens issu caus delay system configur
Several changes in departments happened during the project.,delay critic decis make partli affect plan solut requir,understand scope project
"Poor communication. For example, some technical team members were not involved in PDT discussions.",no project team email account,new field ad without consult registrar
Vendor contact did not inform about external billing file integration that could be taken up at the same time. This integration was added later on.,lack clariti around project manag vendor relationship,retrofit exist environ
August 19th Go-live date was not optimal because it was right before the start of fall semester.,lost resourc train cogno,need better defin set requir hr function lead also left near complet first draft form
The resources that we thought would be in the project all along were only there at the beginning and then we were given new resources.,sinc team pressur mani compet project facetofac meet would help bring everyth back perspect,vendor pm point contact commun test we feel commun relat test file exchang data valid could expedit could contact assign team member directli
"UAT was not effective - the time was too short, and the process was not well defined.",lack chang manag knowledg transit lap,pinacl integr high cost taken scope
Need to plan for ITSS  and vendor resources,cogno train issu vendor equip,actual vendor technic support vendor deliver fulli match it labor requir specifi sow
 No clarity on issues' ownership,the definit process function system defin begin project,pm assign late execut alreadi start
Timeline challenges,balanc need busi commit project timelin,infrastructur compat issu
LinkedIn CSM & Technical resource was not available for weekly team meeting,develop design overlap predict caus bottleneck effort began take longer anticip,inconsit name convent eg mfafa
Frequent changes and insufficient communication to stakeholders,a key softwar updat push project,busi owner clear requir import go detail
"UNT Security proved to be more difficult than expected, leading to urgent requests and expedited testing",other depart engag project time greatli slow project,our mock convers util develop resourc built receiv payment interfac user access
LinkedIn technical team missed technical/configuration work or did not communicate UNTS team about after go-live user experience,triag train document tier support,mani peopl awar agil work import keep consist use see detail project schedul
OneDrive Policy limitation,data sourc connect problem,updat field automat updat name chang field work desir
"Sponsor change, BPI group shut down, change in HR leadership during project.",thi long project item need upcom event,the scope broad real understand much inform need
